Time/min,K-with epifluidics (predicted)
54.11667,10.291295051574707
54.133335,10.292682647705078
54.15,10.293366432189941
54.166668,10.294166564941406
54.183334,10.295114517211914
54.2,10.295783042907715
54.216667,10.296699523925781
54.233334,10.297466278076172
54.25,10.298576354980469
54.266666,10.299110412597656
54.283333,10.300215721130371
54.3,10.300992012023926
54.316666,10.301639556884766
54.333332,10.302831649780273
54.35,10.303487777709961
54.36667,10.304526329040527
54.383335,10.305314064025879
54.4,10.306318283081055
54.416668,10.307028770446777
54.433334,10.308043479919434
54.45,10.30902099609375
54.466667,10.30970573425293
54.483334,10.311052322387695
54.5,10.311528205871582
54.516666,10.312665939331055
54.533333,10.313583374023438
54.55,10.314362525939941
54.566666,10.315411567687988
54.583332,10.31637954711914
54.6,10.317245483398438
54.61667,10.318039894104004
54.633335,10.319229125976562
54.65,10.3197021484375
54.666668,10.32097053527832
54.683334,10.321765899658203
54.7,10.322524070739746
54.716667,10.323721885681152
54.733334,10.324254035949707
54.75,10.325277328491211
54.766666,10.32614517211914
54.783333,10.32696533203125
54.8,10.32780933380127
54.816666,10.328808784484863
54.833332,10.329513549804688
54.85,10.330317497253418
54.86667,10.331363677978516
54.883335,10.331896781921387
54.9,10.333012580871582
54.916668,10.333744049072266
54.933334,10.3345308303833
54.95,10.335494041442871
54.966667,10.336162567138672
54.983334,10.337114334106445
55.0,10.33786678314209
55.016666,10.338850021362305
55.033333,10.339510917663574
55.05,10.340521812438965
55.066666,10.341264724731445
55.083332,10.342046737670898
55.1,10.343060493469238
55.11667,10.343751907348633
55.133335,10.344741821289062
55.15,10.345504760742188
55.166668,10.34643268585205
55.183334,10.34717082977295
55.2,10.348125457763672
55.216667,10.348945617675781
55.233334,10.349746704101562
55.25,10.350797653198242
55.266666,10.351407051086426
55.283333,10.352434158325195
55.3,10.353235244750977
55.316666,10.354018211364746
55.333332,10.354964256286621
55.35,10.35578441619873
55.36667,10.356623649597168
55.383335,10.357444763183594
55.4,10.358378410339355
55.416668,10.359038352966309
55.433334,10.360055923461914
55.45,10.360812187194824
55.466667,10.361589431762695
55.483334,10.362597465515137
55.5,10.363201141357422
55.516666,10.364171981811523
55.533333,10.364946365356445
55.55,10.365766525268555
55.566666,10.36659049987793
55.583332,10.367465019226074
55.6,10.368218421936035
55.61667,10.369024276733398
55.633335,10.369945526123047
55.65,10.370589256286621
55.666668,10.371589660644531
55.683334,10.372309684753418
55.7,10.373140335083008
55.716667,10.37401008605957
55.733334,10.374750137329102
55.75,10.375622749328613
55.766666,10.37641429901123
55.783333,10.377288818359375
55.8,10.378032684326172
55.816666,10.378948211669922
55.833332,10.379707336425781
55.85,10.380511283874512
55.86667,10.38141918182373
55.883335,10.382142066955566
55.9,10.38305377960205
55.916668,10.383827209472656
55.933334,10.384675979614258
55.95,10.38546085357666
55.966667,10.386316299438477
55.983334,10.387121200561523
56.0,10.387910842895508
56.016666,10.388830184936523
56.033333,10.38950252532959
56.05,10.390435218811035
56.066666,10.391191482543945
56.083332,10.39198112487793
56.1,10.392850875854492
56.11667,10.393617630004883
56.133335,10.394437789916992
56.15,10.395230293273926
56.166668,10.396068572998047
56.183334,10.396780967712402
56.2,10.397689819335938
56.216667,10.39841079711914
56.233334,10.399216651916504
56.25,10.4000825881958
56.266666,10.400762557983398
56.283333,10.40164566040039
56.3,10.402397155761719
56.316666,10.40318489074707
56.333332,10.403992652893066
56.35,10.404792785644531
56.36667,10.405555725097656
56.383335,10.406351089477539
56.4,10.407175064086914
56.416668,10.407883644104004
56.433334,10.408769607543945
56.45,10.409492492675781
56.466667,10.410296440124512
56.483334,10.411114692687988
56.5,10.411849021911621
56.516666,10.412681579589844
56.533333,10.413440704345703
56.55,10.414260864257812
56.566666,10.415003776550293
56.583332,10.41584587097168
56.6,10.416586875915527
56.61667,10.417376518249512
56.633335,10.418201446533203
56.65,10.418925285339355
56.666668,10.419771194458008
56.683334,10.420515060424805
56.7,10.421317100524902
56.716667,10.422082901000977
56.733334,10.422879219055176
56.75,10.42364501953125
56.766666,10.424421310424805
56.783333,10.425237655639648
56.8,10.425946235656738
56.816666,10.426790237426758
56.833332,10.427521705627441
56.85,10.428293228149414
56.86667,10.429098129272461
56.883335,10.429837226867676
56.9,10.43062686920166
56.916668,10.431386947631836
56.933334,10.432168006896973
56.95,10.432900428771973
56.966667,10.433717727661133
56.983334,10.434441566467285
57.0,10.435218811035156
57.016666,10.436015129089355
57.033333,10.436716079711914
57.05,10.437540054321289
57.066666,10.438264846801758
57.083332,10.43903636932373
57.1,10.439805030822754
57.11667,10.44056510925293
57.133335,10.441316604614258
57.15,10.442082405090332
57.166668,10.442854881286621
57.183334,10.443574905395508
57.2,10.444388389587402
57.216667,10.445101737976074
57.233334,10.445879936218262
57.25,10.446645736694336
57.266666,10.44737434387207
57.283333,10.448158264160156
57.3,10.448895454406738
57.316666,10.449660301208496
57.333332,10.450392723083496
57.35,10.451166152954102
57.36667,10.451889991760254
57.383335,10.452643394470215
57.4,10.453407287597656
57.416668,10.454118728637695
57.433334,10.454901695251465
57.45,10.455618858337402
57.466667,10.45637321472168
57.483334,10.457111358642578
57.5,10.457855224609375
57.516666,10.458590507507324
57.533333,10.459329605102539
57.55,10.460083961486816
57.566666,10.460786819458008
57.583332,10.461565017700195
57.6,10.46226692199707
57.61667,10.463010787963867
57.633335,10.463757514953613
57.65,10.464468002319336
57.666668,10.465217590332031
57.683334,10.465940475463867
57.7,10.466676712036133
57.716667,10.467391967773438
57.733334,10.468145370483398
57.75,10.46884822845459
57.766666,10.469590187072754
57.783333,10.470327377319336
57.8,10.471022605895996
57.816666,10.471783638000488
57.833336,10.47248363494873
57.85,10.473217010498047
57.86667,10.473945617675781
57.883335,10.474664688110352
57.9,10.475387573242188
57.916668,10.476112365722656
57.933334,10.476837158203125
57.95,10.477542877197266
57.966667,10.478293418884277
57.983334,10.478988647460938
58.0,10.479724884033203
58.016666,10.480448722839355
58.033333,10.481151580810547
58.05,10.481889724731445
58.066666,10.482593536376953
58.083336,10.483320236206055
58.1,10.484027862548828
58.11667,10.484756469726562
58.133335,10.485457420349121
58.15,10.48617935180664
58.166668,10.486897468566895
58.183334,10.487592697143555
58.2,10.488327026367188
58.216667,10.489019393920898
58.233334,10.489739418029785
58.25,10.490446090698242
58.266666,10.491153717041016
58.283333,10.491861343383789
58.3,10.492568016052246
58.316666,10.493280410766602
58.333336,10.49397087097168
58.35,10.494697570800781
58.36667,10.495382308959961
58.383335,10.49609375
58.4,10.496801376342773
58.416668,10.497489929199219
58.433334,10.498205184936523
58.45,10.498896598815918
58.466667,10.499600410461426
58.483334,10.50029468536377
58.5,10.501002311706543
58.516666,10.501688003540039
58.533333,10.502392768859863
58.55,10.503091812133789
58.566666,10.503772735595703
58.583336,10.504487991333008
58.6,10.50516414642334
58.61667,10.505867004394531
58.633335,10.506559371948242
58.65,10.507247924804688
58.666668,10.507942199707031
58.683334,10.50863265991211
58.7,10.509323120117188
58.716667,10.510004997253418
58.733334,10.510708808898926
58.75,10.511380195617676
58.766666,10.512078285217285
58.783333,10.512763977050781
58.8,10.51344108581543
58.816666,10.514137268066406
58.833336,10.514812469482422
58.85,10.515501022338867
58.86667,10.516180038452148
58.883335,10.516866683959961
58.9,10.517541885375977
58.916668,10.518226623535156
58.933334,10.51890754699707
58.95,10.519577026367188
58.966667,10.520269393920898
58.983334,10.520934104919434
59.0,10.521617889404297
59.016666,10.522293090820312
59.033333,10.522966384887695
59.05,10.523642539978027
59.066666,10.52431583404541
59.083336,10.524991989135742
59.1,10.525657653808594
59.11667,10.52634048461914
59.133335,10.527000427246094
59.15,10.527677536010742
59.166668,10.528347969055176
59.183334,10.529010772705078
59.2,10.529688835144043
59.216667,10.530349731445312
59.233334,10.531020164489746
59.25,10.531684875488281
59.266666,10.532354354858398
59.283333,10.533014297485352
59.3,10.533684730529785
59.316666,10.534348487854004
59.333336,10.535005569458008
59.35,10.535679817199707
59.36667,10.536331176757812
59.383335,10.536998748779297
59.4,10.537659645080566
59.416668,10.53831672668457
59.433334,10.538979530334473
59.45,10.539636611938477
59.466667,10.54029655456543
59.483334,10.540949821472168
59.5,10.541613578796387
59.516666,10.542262077331543
59.533333,10.542923927307129
59.55,10.543577194213867
59.566666,10.544227600097656
59.583336,10.54488754272461
59.6,10.545534133911133
59.61667,10.54619026184082
59.633335,10.546838760375977
59.65,10.547491073608398
59.666668,10.548138618469238
59.683334,10.54879093170166
59.7,10.5494384765625
59.716667,10.55008316040039
59.733334,10.550736427307129
59.75,10.551375389099121
59.766666,10.552027702331543
59.783333,10.552671432495117
59.8,10.553314208984375
59.816666,10.553959846496582
59.833336,10.554601669311523
59.85,10.555245399475098
59.86667,10.55588436126709
59.883335,10.556530952453613
59.9,10.557165145874023
59.916668,10.557809829711914
59.933334,10.55844783782959
59.95,10.559082984924316
59.966667,10.55972671508789
59.983334,10.560359001159668
60.0,10.56099796295166
